abbreviation,rarity,count,condition,is_first_ed,language_id,product_id,id,comments,status,from,game_id,comments_special_cm,comments_special_ad,prix_a_envoyer,guid,price,comment_mkm
DR1,Common,1,LP,False,2,102023,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-4LP-166-2-f-RG[01],(08)YRG[01]-DR1-4LP-166-2-f-RG[01]-102023,NaN,(08)YRG[01]-DR1-4LP-2-F-102023,NaN,(08)YRG[01]-DR1-4LP-166-2-f-RG[01]
DR1,Common,1,NM,False,2,102023,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-1NM-166-2-f-RG[01],(08)YRG[01]-DR1-1NM-166-2-f-RG[01]-102023,NaN,(08)YRG[01]-DR1-1NM-2-F-102023,NaN,(08)YRG[01]-DR1-1NM-166-2-f-RG[01]
MFC,Common,1,GD,False,1,102041,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-MFC-3GD-032-1-f-RG[01],(08)YRG[01]-MFC-3GD-032-1-f-RG[01]-102041,NaN,(08)YRG[01]-MFC-3GD-1-F-102041,NaN,(08)YRG[01]-MFC-3GD-032-1-f-RG[01]
DB1,Rare,1,GD,False,1,102045,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DB1-3GD-002-1-f-RG[01],(08)YRG[01]-DB1-3GD-002-1-f-RG[01]-102045,NaN,(08)YRG[01]-DB1-3GD-1-F-102045,NaN,(08)YRG[01]-DB1-3GD-002-1-f-RG[01]
PTDN,Rare,4,EX,False,2,102051,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-PTDN-2EX-089-2-f-RG[01],(08)YRG[01]-PTDN-2EX-089-2-f-RG[01]-102051,NaN,(08)YRG[01]-PTDN-2EX-2-F-102051,NaN,(08)YRG[01]-PTDN-2EX-089-2-f-RG[01]
PTDN,Rare,1,EX,True,2,102051,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-PTDN-2EX-089-2-t-RG[01],(08)YRG[01]-PTDN-2EX-089-2-t-RG[01]-102051,NaN,(08)YRG[01]-PTDN-2EX-2-T-102051,NaN,(08)YRG[01]-PTDN-2EX-089-2-t-RG[01]
PTDN,Rare,2,GD,False,2,102051,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-PTDN-3GD-089-2-f-RG[01],(08)YRG[01]-PTDN-3GD-089-2-f-RG[01]-102051,NaN,(08)YRG[01]-PTDN-3GD-2-F-102051,NaN,(08)YRG[01]-PTDN-3GD-089-2-f-RG[01]
PTDN,Rare,3,NM,False,2,102051,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-PTDN-1NM-089-2-f-RG[01],(08)YRG[01]-PTDN-1NM-089-2-f-RG[01]-102051,NaN,(08)YRG[01]-PTDN-1NM-2-F-102051,NaN,(08)YRG[01]-PTDN-1NM-089-2-f-RG[01]
PTDN,Rare,1,NM,True,2,102051,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-PTDN-1NM-089-2-t-RG[01],(08)YRG[01]-PTDN-1NM-089-2-t-RG[01]-102051,NaN,(08)YRG[01]-PTDN-1NM-2-T-102051,NaN,(08)YRG[01]-PTDN-1NM-089-2-t-RG[01]
DB1,Common,3,GD,False,1,102069,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DB1-3GD-082-1-f-RG[01],(08)YRG[01]-DB1-3GD-082-1-f-RG[01]-102069,NaN,(08)YRG[01]-DB1-3GD-1-F-102069,NaN,(08)YRG[01]-DB1-3GD-082-1-f-RG[01]
