guid,price
(5)YRX[01]-SD10-1NM-1-T-101921.0,3.16
(5)YRX[01]-SD10-1NM-2-T-101921.0,4.2
(XX)UNK[XX]-SD10-6PO-2-T-101921.0,1.03
(5)YRX[01]-SD10-2EX-1-F-101922.0,1.19
(5)YRX[01]-SD10-2EX-2-T-101922.0,2.1
(5)YRX[01]-SD10-3GD-2-T-101922.0,1.19
(2)YCF[04]-TLM-5PL-2-T-101923.0,34.09
(08)YRG[01]-GLAS-2EX-2-F-101924.0,0.94
(08)YRG[01]-GLAS-2EX-2-T-101924.0,0.94
(08)YRG[01]-GLAS-3GD-2-F-101924.0,0.61
(08)YRG[01]-GLAS-3GD-2-T-101924.0,0.61
(5)YRX[01]-SD10-2EX-2-T-101925.0,2.1
(08)YRG[01]-TLM-2EX-2-F-101926.0,1.87
(08)YRG[01]-TLM-3GD-1-F-101926.0,1.1
(08)YRG[01]-TLM-3GD-2-F-101926.0,1.21
(5)YRX[01]-SP2-3GD-1-F-101929.0,3.32
(5)YRX[01]-SP2-1NM-1-F-101929.0,5.59
(5)YRX[01]-MRD-2EX-1-F-101930.0,2.31
(08)YRG[01]-MRD-1NM-1-F-101930.0,4.4
(5)YRX[01]-MRL-2EX-2-F-101931.0,1.19
(5)YRX[01]-MRL-1NM-2-T-101931.0,3.17
(5)YRX[01]-STON-2EX-2-T-101932.0,2.25
(5)YRX[01]-STON-3GD-2-F-101932.0,1.37
(5)YRX[01]-STON-3GD-2-T-101932.0,1.58
(5)YRX[01]-STON-1NM-1-T-101932.0,2.17
(5)YRX[01]-STON-1NM-2-T-101932.0,2.63
(08)YRG[01]-SDK-3GD-1-F-101933.0,2.75
(5)YRX[01]-SDK-3GD-2-F-101933.0,0.84
(2)YCF[03]-EP1-2EX-2-F-101934.0,4.55
(5)YRX[01]-EP1-2EX-2-F-101934.0,4.2
(XX)UNK[XX]-EP1-3GD-2-F-101934.0,3.6
(5)YRX[01]-EP1-3GD-2-F-101934.0,3.67
(2)YCF[03]-EP1-3GD-2-F-101934.0,3.94
(5)YRX[01]-EP1-4LP-2-F-101934.0,2.36
(2)YCF[03]-EP1-4LP-2-F-101934.0,2.53
(5)YRX[01]-EP1-1NM-1-F-101934.0,4.47
(XX)UNK[XX]-EP1-1NM-2-F-101934.0,5.73
(5)YRX[01]-EP1-1NM-2-F-101934.0,5.73
(5)YRX[01]-EP1-5PL-2-F-101934.0,1.3
(5)YRX[01]-LODT-2EX-1-F-101935.0,14.24
(5)YRX[01]-LODT-2EX-2-F-101935.0,19.02
(5)YRX[01]-LODT-2EX-2-T-101935.0,25.28
(5)YRX[01]-DR1-3GD-2-F-102329.0,15.91
(5)YRX[01]-LODT-2EX-5-T-101935.0,15
(5)YRX[01]-LODT-3GD-2-F-101935.0,16.5
(5)YRX[01]-LODT-1NM-2-F-101935.0,26
(5)YRX[01]-LODT-1NM-2-T-101935.0,25.38
(2)YCF[01]-LODT-1NM-2-T-101935.0,25.78
(5)YRX[01]-SDY-4LP-2-F-101936.0,1.05
(08)YRG[01]-DR1-2EX-2-F-101937.0,1.87
(08)YRG[01]-DR1-3GD-2-F-101937.0,1.21
(08)YRG[01]-DR1-1NM-2-F-101937.0,2.2
(5)YRX[01]-DR1-1NM-2-F-101937.0,2.42
(00)CGC/5///BE-LON-2EX-2-F-102933.0,63.88
(08)YRG[01]-MFC-2EX-1-F-101938.0,NaN
(08)YRG[01]-MFC-3GD-1-T-101938.0,3.48
(08)YRG[01]-MFC-1NM-1-F-101938.0,1.1
(5)YRX[01]-MFC-1NM-1-F-101938.0,1.58
(5)YRX[01]-SOI-2EX-2-T-101939.0,1.35
(08)YRG[01]-SOI-1NM-2-F-101939.0,1.38
(5)YRX[01]-SOI-1NM-2-T-101939.0,1.48
(08)YRG[01]-SOI-1NM-2-T-101939.0,1.38
(08)YRG[01]-DR2-2EX-2-F-101941.0,1.87
(5)YRX[01]-DR2-2EX-2-F-101941.0,1.74
(5)YRX[01]-IOC-1NM-1-F-101942.0,1.15
(5)YRX[01]-STON-2EX-2-T-101943.0,1.19
(5)YRX[01]-STON-3GD-2-T-101943.0,0.72
(5)YRX[01]-STON-1NM-2-F-101943.0,1.3
(08)YRG[01]-STON-1NM-2-T-101943.0,1.1
(5)YRX[01]-STON-1NM-2-T-101943.0,1.3
(5)YRX[01]-DR1-2EX-2-F-101944.0,1.74
(08)YRG[01]-DR1-2EX-2-F-101944.0,1.87
