id,name_en,name_fr,price,comments,count,condition,expansion,status,from,last_edited,is_signed,is_first_ed,is_altered,is_foil,is_reverse_holo,is_playset,game_id,language_id,currency_id,product_id,seller_id,created_at,updated_at,category_id
19359,,,3.3,(09)YRF[01]-CROS-042-2-t-RF[01],1,NM,,,,,,true,,,,,,2,,282608,,,,
19360,,,0.9,(08)YRG[01]-CROS-1NM-043-2-t-RG[01],1,NM,,,,,,true,,,,,,2,,282609,,,,
19361,,,10.18,(5)YRX[01] CROS (2043) ULTI [01],1,NM,,,,,,true,,,,,,1,,282610,,,,
19362,,,21,Y C00 GC WCQ,1,NM,,,,,,true,,,,,,2,,282610,,,,
19363,,,44.12,(5)YRX[01] CROS (3044) ScR [01],1,NM,,,,,,false,,,,,,2,,282611,,,,
19364,,,31.37,(5)YRX[01] CROS (3044) ScR [01],2,NM,,,,,,true,,,,,,1,,282611,,,,
19365,,,48.2,(5)YRX[01] CROS (2045) ULTI [01],1,NM,,,,,,true,,,,,,2,,282613,,,,
19366,,,31.93,R21/F,1,NM,,,,,,false,,,,,,1,,282613,,,,
19367,,,25.88,(5)YRX[01] CROS (3046) ScR [01],1,EX,,,,,,true,,,,,,2,,282614,,,,
19368,,,20.68,(5)YRX[01] CROS (3046) ScR [01],1,GD,,,,,,false,,,,,,2,,282614,,,,
19369,,,21,(5)YRX[01] CROS (5047) SR [01],3,EX,,,,,,true,,,,,,2,,282617,,,,
19370,,,1.24,(08)YRG[01]-CROS-1NM-048-2-t-RG[01],1,NM,,,,,,true,,,,,,2,,282618,,,,
19371,,,0.72,(08)YRG[01]-CROS-1NM-049-2-t-RG[01],4,NM,,,,,,true,,,,,,2,,282619,,,,
19372,,,8.38,(5)YRX[01] CROS (4050) UR [01],3,NM,,,,,,true,,,,,,2,,282620,,,,
19373,,,20.92,(5)YRX[01] CROS (4051) UR [01],1,EX,,,,,,false,,,,,,2,,282621,,,,
19374,,,0.55,(08)YRG[01]-CROS-1NM-052-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282622,,,,
19375,,,0.55,(08)YRG[01]-CROS-1NM-054-2-f-RG[01],1,NM,,,,,,false,,,,,,2,,282624,,,,
19376,,,0.91,(08)YRG[01]-CROS-1NM-055-2-t-RG[01],1,NM,,,,,,true,,,,,,2,,282625,,,,
19377,,,0.55,(08)YRG[01]-CROS-1NM-058-2-t-RG[01],3,NM,,,,,,true,,,,,,2,,282628,,,,
19378,,,0.68,(5)YRX[01] CROS (7058) C [01],1,NM,,,,,,true,,,,,,2,,282628,,,,
19379,,,0.68,(5)YRX[01] CROS (7058) C [01],2,NM,,,,,,false,,,,,,2,,282628,,,,
19380,,,0.55,(08)YRG[01]-CROS-1NM-059-2-t-RG[01],7,NM,,,,,,true,,,,,,2,,282629,,,,
19381,,,0.68,(5)YRX[01] CROS (7059) C [01],2,NM,,,,,,true,,,,,,2,,282629,,,,
